Ticker;BuySell;EntryDate;EntryPrice;ExitDate;ExitPrice;Pnl;nContracts;MAE;MFE
SPY;-1;21.12.2007 09:59:00;147.055;24.12.2007 11:59:00;148.425;-46.58;34;0;0
SPY;-1;25.01.2008 09:59:00;135.765;28.01.2008 09:59:00;132.045;137.64;37;0;0
SPY;-1;27.03.2008 09:59:00;133.945;28.03.2008 09:59:00;133.545;14.8;37;0;0
SPY;-1;28.03.2008 09:59:00;133.535;31.03.2008 08:59:00;131.105;89.91;37;0;0
SPY;-1;02.04.2008 08:59:00;136.225;03.04.2008 09:59:00;136.655;-15.48;36;0;0
SPY;-1;07.04.2008 08:59:00;137.935;08.04.2008 08:59:00;136.305;58.68;36;0;0
SPY;-1;21.05.2008 08:59:00;142.245;22.05.2008 08:59:00;139.665;90.3;35;0;0
SPY;-1;22.05.2008 08:59:00;139.655;23.05.2008 08:59:00;138.985;23.45;35;0;0
SPY;-1;04.06.2008 08:59:00;137.705;05.06.2008 08:59:00;138.545;-30.24;36;0;0
SPY;-1;12.06.2008 08:59:00;134.475;13.06.2008 08:59:00;134.335;5.18;37;0;0
SPY;-1;17.06.2008 08:59:00;136.765;18.06.2008 08:59:00;135.665;39.6;36;0;0
SPY;-1;02.07.2008 08:59:00;128.725;03.07.2008 08:59:00;126.665;80.34;39;0;0
SPY;-1;10.07.2008 08:59:00;125.045;11.07.2008 08:59:00;125.055;-0.4;40;0;0
SPY;-1;23.07.2008 08:59:00;128.135;24.07.2008 09:59:00;127.805;12.87;39;0;0
SPY;-1;08.09.2008 08:59:00;128.075;09.09.2008 08:59:00;127.445;24.57;39;0;0
SPY;-1;17.09.2008 08:59:00;121.495;18.09.2008 08:59:00;117.815;150.88;41;0;0
SPY;-1;18.09.2008 08:59:00;117.805;19.09.2008 08:59:00;123.575;-242.34;42;0;0
SPY;-1;19.09.2008 08:59:00;123.565;22.09.2008 09:59:00;123.645;-3.2;40;0;0
SPY;-1;09.10.2008 08:59:00;100.395;10.10.2008 08:59:00;89.755;532;50;0;0
SPY;-1;10.10.2008 08:59:00;89.745;13.10.2008 08:59:00;93.885;-231.84;56;0;0
SPY;-1;13.10.2008 08:59:00;93.875;14.10.2008 08:59:00;102.105;-436.19;53;0;0
SPY;-1;16.10.2008 08:59:00;91.335;17.10.2008 08:59:00;92.035;-37.8;54;0;0
SPY;-1;20.10.2008 08:59:00;95.995;21.10.2008 08:59:00;98.185;-113.88;52;0;0
SPY;-1;28.10.2008 09:59:00;87.085;29.10.2008 09:59:00;92.215;-292.41;57;0;0
SPY;-1;29.10.2008 09:59:00;92.205;30.10.2008 09:59:00;95.335;-169.02;54;0;0
SPY;-1;07.11.2008 09:59:00;92.255;10.11.2008 09:59:00;95.855;-194.4;54;0;0
SPY;-1;10.11.2008 09:59:00;95.845;11.11.2008 09:59:00;91.735;213.72;52;0;0
SPY;-1;23.12.2008 09:59:00;87.785;24.12.2008 09:59:00;86.185;91.2;57;0;0
SPY;-1;04.02.2009 09:59:00;84.095;05.02.2009 09:59:00;83.145;57;60;0;0
SPY;-1;11.02.2009 09:59:00;83.355;12.02.2009 09:59:00;82.745;36.6;60;0;0
SPY;-1;23.03.2009 09:59:00;78.995;24.03.2009 09:59:00;81.215;-142.08;64;0;0
SPY;-1;09.04.2009 08:59:00;83.325;13.04.2009 08:59:00;85.005;-100.8;60;0;0
SPY;-1;15.04.2009 08:59:00;84.745;16.04.2009 08:59:00;84.885;-8.26;59;0;0
SPY;-1;30.04.2009 08:59:00;88.745;01.05.2009 08:59:00;87.735;56.56;56;0;0
SPY;-1;20.05.2009 08:59:00;91.645;21.05.2009 08:59:00;89.945;91.8;54;0;0
SPY;-1;01.06.2009 08:59:00;93.825;02.06.2009 08:59:00;94.185;-19.08;53;0;0
SPY;-1;10.06.2009 08:59:00;95.575;11.06.2009 08:59:00;94.865;36.92;52;0;0
SPY;-1;25.06.2009 08:59:00;90.695;26.06.2009 08:59:00;92.025;-73.15;55;0;0
SPY;-1;15.07.2009 08:59:00;91.595;16.07.2009 08:59:00;92.775;-63.72;54;0;0
SPY;-1;03.08.2009 08:59:00;99.715;04.08.2009 08:59:00;99.735;-1;50;0;0
SPY;-1;21.08.2009 08:59:00;101.015;24.08.2009 08:59:00;103.265;-110.25;49;0;0
SPY;-1;16.09.2009 08:59:00;105.905;17.09.2009 08:59:00;107.235;-62.51;47;0;0
SPY;-1;23.09.2009 08:59:00;107.415;24.09.2009 08:59:00;106.115;59.8;46;0;0
SPY;-1;30.09.2009 08:59:00;106.535;01.10.2009 08:59:00;105.375;54.52;47;0;0
SPY;-1;29.10.2009 09:59:00;104.775;30.10.2009 09:59:00;106.285;-72.48;48;0;0
SPY;-1;05.11.2009 09:59:00;105.045;06.11.2009 09:59:00;106.725;-78.96;47;0;0
SPY;-1;04.01.2010 09:59:00;112.215;05.01.2010 09:59:00;113.335;-49.28;44;0;0
SPY;-1;22.01.2010 09:59:00;111.915;25.01.2010 09:59:00;110.545;61.65;45;0;0
SPY;-1;25.01.2010 09:59:00;110.535;26.01.2010 09:59:00;108.945;71.55;45;0;0
SPY;-1;28.01.2010 09:59:00;110.495;29.01.2010 09:59:00;108.375;95.4;45;0;0
SPY;-1;29.01.2010 09:59:00;108.365;01.02.2010 09:59:00;108.095;12.42;46;0;0
SPY;-1;09.02.2010 09:59:00;106.935;10.02.2010 09:59:00;107.125;-8.93;47;0;0
SPY;-1;21.04.2010 08:59:00;121.105;22.04.2010 08:59:00;120.655;18.45;41;0;0
SPY;-1;30.04.2010 08:59:00;121.155;03.05.2010 08:59:00;119.185;80.77;41;0;0
SPY;-1;10.05.2010 08:59:00;116.245;11.05.2010 08:59:00;114.765;63.64;43;0;0
SPY;-1;13.05.2010 08:59:00;117.145;14.05.2010 08:59:00;115.445;71.4;42;0;0
SPY;-1;26.05.2010 08:59:00;108.465;27.05.2010 08:59:00;108.815;-16.1;46;0;0
SPY;-1;27.05.2010 08:59:00;108.805;28.05.2010 08:59:00;110.705;-87.4;46;0;0
SPY;-1;28.05.2010 08:59:00;110.695;01.06.2010 08:59:00;107.745;132.75;45;0;0
SPY;-1;03.06.2010 08:59:00;110.895;04.06.2010 08:59:00;111.165;-12.15;45;0;0
SPY;-1;04.06.2010 08:59:00;111.155;07.06.2010 08:59:00;106.655;202.5;45;0;0
SPY;-1;21.06.2010 08:59:00;113.115;22.06.2010 08:59:00;111.555;68.64;44;0;0
SPY;-1;22.07.2010 08:59:00;107.995;23.07.2010 08:59:00;109.645;-75.9;46;0;0
SPY;-1;02.08.2010 08:59:00;111.565;03.08.2010 08:59:00;112.505;-42.3;45;0;0
SPY;-1;13.08.2010 08:59:00;109.065;16.08.2010 08:59:00;107.865;54;45;0;0
SPY;-1;01.10.2010 08:59:00;114.695;04.10.2010 08:59:00;114.095;25.8;43;0;0
SPY;-1;06.10.2010 08:59:00;116.395;07.10.2010 08:59:00;115.905;21.07;43;0;0
SPY;-1;18.11.2010 09:59:00;119.465;19.11.2010 09:59:00;119.995;-22.26;42;0;0
SPY;-1;10.12.2010 09:59:00;123.995;13.12.2010 09:59:00;124.585;-23.6;40;0;0
SPY;-1;21.12.2010 09:59:00;124.895;22.12.2010 10:59:00;125.405;-20.4;40;0;0
SPY;-1;29.12.2010 09:59:00;125.995;30.12.2010 09:59:00;126.005;-0.4;40;0;0
SPY;-1;16.02.2011 09:59:00;133.555;17.02.2011 09:59:00;133.625;-2.59;37;0;0
SPY;-1;17.03.2011 09:59:00;127.425;18.03.2011 09:59:00;128.205;-30.42;39;0;0
SPY;-1;11.05.2011 08:59:00;135.965;12.05.2011 08:59:00;133.555;86.76;36;0;0
SPY;-1;18.05.2011 08:59:00;133.405;19.05.2011 08:59:00;134.415;-37.37;37;0;0
SPY;-1;10.06.2011 08:59:00;129.165;13.06.2011 08:59:00;127.585;60.04;38;0;0
SPY;-1;24.06.2011 08:59:00;128.945;27.06.2011 08:59:00;127.225;67.08;39;0;0
SPY;-1;30.06.2011 08:59:00;131.145;01.07.2011 08:59:00;131.975;-31.54;38;0;0
SPY;-1;14.07.2011 08:59:00;132.135;15.07.2011 08:59:00;131.085;38.85;37;0;0
SPY;-1;20.07.2011 08:59:00;132.785;21.07.2011 08:59:00;132.605;6.66;37;0;0
SPY;-1;28.07.2011 08:59:00;130.615;29.07.2011 08:59:00;129.655;36.48;38;0;0
SPY;-1;11.08.2011 08:59:00;114.895;12.08.2011 08:59:00;116.865;-84.71;43;0;0
SPY;-1;12.08.2011 08:59:00;116.855;15.08.2011 08:59:00;119.115;-97.18;43;0;0
SPY;-1;15.08.2011 08:59:00;119.105;16.08.2011 08:59:00;118.955;6.3;42;0;0
SPY;-1;22.08.2011 08:59:00;113.995;23.08.2011 08:59:00;114.325;-14.52;44;0;0
SPY;-1;26.08.2011 08:59:00;116.465;29.08.2011 08:59:00;119.335;-123.41;43;0;0
SPY;-1;31.08.2011 08:59:00;122.195;01.09.2011 08:59:00;121.855;13.6;40;0;0
SPY;-1;07.09.2011 08:59:00;118.285;08.09.2011 08:59:00;120.405;-89.04;42;0;0
SPY;-1;15.09.2011 08:59:00;119.895;16.09.2011 08:59:00;120.365;-19.74;42;0;0
SPY;-1;20.09.2011 08:59:00;120.525;21.09.2011 08:59:00;120.355;6.97;41;0;0
SPY;-1;21.09.2011 08:59:00;120.345;22.09.2011 08:59:00;114.505;239.44;41;0;0
SPY;-1;27.09.2011 08:59:00;117.535;28.09.2011 08:59:00;117.625;-3.78;42;0;0
SPY;-1;06.10.2011 08:59:00;114.995;07.10.2011 08:59:00;116.035;-44.72;43;0;0
SPY;-1;10.10.2011 08:59:00;117.395;11.10.2011 08:59:00;118.895;-63;42;0;0
SPY;-1;04.11.2011 09:59:00;126.125;07.11.2011 09:59:00;123.955;84.63;39;0;0
SPY;-1;09.11.2011 09:59:00;125.685;10.11.2011 09:59:00;124.565;44.8;40;0;0
SPY;-1;28.11.2011 09:59:00;119.235;29.11.2011 09:59:00;120.245;-42.42;42;0;0
SPY;-1;02.12.2011 09:59:00;126.265;05.12.2011 09:59:00;126.375;-4.29;39;0;0
SPY;-1;05.12.2011 09:59:00;126.365;06.12.2011 09:59:00;126.155;8.19;39;0;0
SPY;-1;26.01.2012 09:59:00;132.735;27.01.2012 09:59:00;132.195;19.98;37;0;0
SPY;-1;01.02.2012 09:59:00;132.295;02.02.2012 09:59:00;132.485;-7.03;37;0;0
SPY;-1;08.03.2012 09:59:00;136.695;09.03.2012 09:59:00;136.975;-10.08;36;0;0
SPY;-1;11.04.2012 08:59:00;136.865;12.04.2012 08:59:00;137.395;-19.08;36;0;0
SPY;-1;25.04.2012 08:59:00;138.535;26.04.2012 08:59:00;139.395;-30.96;36;0;0
SPY;-1;09.05.2012 08:59:00;135.405;10.05.2012 08:59:00;135.785;-14.06;37;0;0
SPY;-1;10.05.2012 08:59:00;135.775;11.05.2012 08:59:00;135.705;2.52;36;0;0
SPY;-1;11.05.2012 08:59:00;135.695;14.05.2012 08:59:00;134.285;52.17;37;0;0
SPY;-1;16.05.2012 08:59:00;133.265;17.05.2012 08:59:00;133.305;-1.48;37;0;0
SPY;-1;21.05.2012 08:59:00;130.585;22.05.2012 08:59:00;131.955;-52.06;38;0;0
SPY;-1;22.05.2012 08:59:00;131.945;23.05.2012 08:59:00;131.275;24.79;37;0;0
SPY;-1;29.05.2012 08:59:00;133.075;30.05.2012 08:59:00;132.855;8.14;37;0;0
SPY;-1;06.06.2012 08:59:00;130.425;07.06.2012 08:59:00;132.545;-80.56;38;0;0
SPY;-1;07.06.2012 08:59:00;132.535;08.06.2012 08:59:00;131.325;44.77;37;0;0
SPY;-1;11.06.2012 08:59:00;134.685;12.06.2012 08:59:00;132.095;95.83;37;0;0
SPY;-1;20.06.2012 08:59:00;135.705;21.06.2012 08:59:00;135.125;21.46;37;0;0
SPY;-1;29.06.2012 08:59:00;134.465;02.07.2012 08:59:00;136.645;-80.66;37;0;0
SPY;-1;11.07.2012 08:59:00;134.575;12.07.2012 08:59:00;133.465;41.07;37;0;0
SPY;-1;06.09.2012 08:59:00;141.905;07.09.2012 08:59:00;144.125;-77.7;35;0;0
SPY;-1;11.10.2012 08:59:00;143.595;12.10.2012 08:59:00;143.785;-6.46;34;0;0
SPY;-1;25.10.2012 08:59:00;141.965;26.10.2012 08:59:00;140.485;51.8;35;0;0
SPY;-1;31.10.2012 09:59:00;142.285;01.11.2012 09:59:00;140.895;48.65;35;0;0
SPY;-1;12.12.2012 09:59:00;144.065;13.12.2012 09:59:00;143.205;29.24;34;0;0
SPY;-1;18.12.2012 09:59:00;144.495;19.12.2012 09:59:00;145.485;-33.66;34;0;0
SPY;-1;19.12.2012 09:59:00;145.475;20.12.2012 09:59:00;144.285;40.46;34;0;0
SPY;-1;26.12.2012 09:59:00;142.385;27.12.2012 09:59:00;141.695;24.15;35;0;0
SPY;-1;02.01.2013 09:59:00;143.505;03.01.2013 09:59:00;145.635;-72.42;34;0;0
SPY;-1;18.01.2013 09:59:00;147.955;22.01.2013 09:59:00;148.115;-5.28;33;0;0
SPY;-1;05.03.2013 09:59:00;153.435;06.03.2013 09:59:00;154.785;-43.2;32;0;0
SPY;-1;06.03.2013 09:59:00;154.775;07.03.2013 09:59:00;154.665;3.52;32;0;0
SPY;-1;19.04.2013 08:59:00;154.835;22.04.2013 08:59:00;156.045;-38.72;32;0;0
SPY;-1;25.04.2013 08:59:00;158.095;26.04.2013 08:59:00;158.165;-2.17;31;0;0
SPY;-1;15.05.2013 08:59:00;164.975;16.05.2013 08:59:00;165.715;-22.2;30;0;0
SPY;-1;07.06.2013 08:59:00;162.695;10.06.2013 08:59:00;165.085;-71.7;30;0;0
SPY;-1;26.06.2013 08:59:00;158.915;27.06.2013 08:59:00;160.155;-38.44;31;0;0
SPY;-1;02.07.2013 08:59:00;161.545;03.07.2013 08:59:00;160.205;41.54;31;0;0
SPY;-1;12.07.2013 08:59:00;167.305;15.07.2013 08:59:00;167.885;-16.82;29;0;0
SPY;-1;16.08.2013 08:59:00;166.395;19.08.2013 08:59:00;165.625;23.1;30;0;0
SPY;-1;22.08.2013 08:59:00;164.945;23.08.2013 08:59:00;165.745;-24;30;0;0
SPY;-1;23.08.2013 08:59:00;165.735;26.08.2013 08:59:00;166.545;-24.3;30;0;0
SPY;-1;19.09.2013 08:59:00;173.565;20.09.2013 08:59:00;172.055;42.28;28;0;0
SPY;-1;26.09.2013 08:59:00;169.315;27.09.2013 08:59:00;169.225;2.61;29;0;0
SPY;-1;01.10.2013 08:59:00;168.725;02.10.2013 08:59:00;168.195;15.37;29;0;0
SPY;-1;02.10.2013 08:59:00;168.185;03.10.2013 08:59:00;168.505;-9.28;29;0;0
SPY;-1;03.10.2013 08:59:00;168.495;04.10.2013 08:59:00;167.875;17.98;29;0;0
SPY;-1;04.10.2013 08:59:00;167.865;07.10.2013 08:59:00;167.305;16.24;29;0;0
SPY;-1;17.10.2013 08:59:00;171.425;18.10.2013 08:59:00;173.475;-59.45;29;0;0
SPY;-1;18.10.2013 08:59:00;173.465;21.10.2013 08:59:00;174.285;-22.96;28;0;0
SPY;-1;14.11.2013 09:59:00;178.935;15.11.2013 09:59:00;179.495;-15.68;28;0;0
SPY;-1;15.11.2013 09:59:00;179.485;18.11.2013 09:59:00;179.835;-9.45;27;0;0
SPY;-1;04.12.2013 09:59:00;179.965;05.12.2013 09:59:00;179.715;6.75;27;0;0
SPY;-1;13.12.2013 09:59:00;178.745;16.12.2013 09:59:00;178.275;13.16;28;0;0
SPY;-1;10.01.2014 09:59:00;184.085;13.01.2014 09:59:00;183.815;7.29;27;0;0
SPY;-1;22.01.2014 09:59:00;184.205;23.01.2014 09:59:00;183.855;9.45;27;0;0
SPY;-1;23.01.2014 09:59:00;183.845;24.01.2014 09:59:00;182.225;43.74;27;0;0
SPY;-1;04.03.2014 09:59:00;186.105;05.03.2014 09:59:00;187.615;-39.26;26;0;0
SPY;-1;05.03.2014 09:59:00;187.605;06.03.2014 09:59:00;188.095;-12.74;26;0;0
SPY;-1;14.03.2014 09:59:00;185.555;17.03.2014 08:59:00;185.575;-0.54;27;0;0
SPY;-1;09.04.2014 08:59:00;185.305;10.04.2014 08:59:00;186.905;-43.2;27;0;0
SPY;-1;16.04.2014 08:59:00;185.375;17.04.2014 08:59:00;185.435;-1.62;27;0;0
SPY;-1;02.05.2014 08:59:00;188.425;05.05.2014 08:59:00;187.105;34.32;26;0;0
SPY;-1;21.05.2014 08:59:00;187.775;22.05.2014 08:59:00;189.195;-36.92;26;0;0
SPY;-1;23.07.2014 08:59:00;198.205;24.07.2014 08:59:00;198.885;-17;25;0;0
SPY;-1;24.07.2014 08:59:00;198.875;25.07.2014 08:59:00;198.465;10.25;25;0;0
